"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Arab World","ARB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","9.44078546064959","5.20003327848553","-1.38413909387612","7.02462538415931","6.59158454731241","0.757320313219793","-6.05545069502692","-5.68693895069224","-1.27852960270778","-3.40508954393096","-2.38053501936416","-2.1923658738687","0.941694532719055","-0.351820472563219","6.87030191692359","-3.81692768778451","3.17175786776951","1.30016188301379","0.81074286483522","-0.203392271135613","2.48931907231096","2.58321124686343","3.08347487713444","0.919255403937981","2.95811321480957","0.0832270528504466","-0.607126735219737","2.03861686728801","7.33673632842778","3.77148542205312","4.81432421668184","3.12139489626304","3.73527595361678","-0.890709479468569","2.29208193991524","1.10857692102937","3.20664340568626","1.32389075154737","0.68124782899099","1.12864740642313",""
"Arab World","ARB","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10053.44849202","9561.15323951959","9880.78136073216","9992.34060603373","10048.7056488649","10023.8634659117","10277.6685530391","10545.7586484861","10921.2008743272","11072.8592901578","11372.0132712979","11397.2217321492","11318.5306449613","11454.988154281","12277.4577018693","12727.1297503119","13295.000035958","13704.9676425132","14223.4842809567","14159.2700055864","14490.3035576849","14577.135598096","15018.0113691804","15206.0696165581","15298.1370836878","15451.3437001203",""
"Caribbean small states","CSS","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","1.91798036025503","4.45438662896034","4.03935956057929","4.11976248584168","0.709081478316563","7.73836372646197","-2.04582235800697","-3.84748657371019","-2.16832031455684","-1.34740983376787","3.10366488416145","4.92067695282286","2.26080960005592","-2.26543920690378","-0.32397132180823","0.0784126846513686","-3.97499316837731","-0.852633552594099","-1.78487157373711","0.0592336093631758","0.504808400700597","1.53553127595831","3.99599782917149","0.98521274856995","0.877733056185392","-1.01537393973237","1.99021023710783","1.77457449116565","2.06273118401259","2.48089053688703","2.26788424100461","1.951655314237","3.23305332402279","3.01649879017791","1.38322049299799","3.17366212677432","5.44487394677289","3.58624896539664","3.05555688434251","6.23064274604927","2.54810864244131","0.677156753361686","-4.17639667415996","0.751937190394486","0.391813664239834","0.657288911338469","1.03400337487915","-0.00300121022220878","-0.331664842115828",""
"Caribbean small states","CSS","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9110.89582034876","9258.53363340731","9208.68664173548","9408.43733217119","9579.72723635773","9775.87984211917","10019.8427908466","10260.4112005326","10453.0855826317","10797.3632924091","11127.0247510607","11308.0359138065","11703.3665559871","12441.7683118501","12940.7468846687","13343.5722160726","14243.8278016409","14637.6412274144","14780.9531649806","14173.7497506742","14302.3045449221","14360.6650374556","14451.1473835847","14629.7426783518","14633.2626201681","14590.9851636157",""
"Central Europe and the Baltics","CEB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.36725143145806","-1.5031634187693","1.50434831284589","4.18483944252397","5.8803866358118","4.71979716541391","3.14705643737265","2.91677665161392","2.18801942895246","4.70596208592661","3.65474554309043","4.14060828788638","4.76839689070006","5.8861852984934","5.20947783802532","6.84117836716483","6.79520665864146","4.15335103576646","-3.50208724314882","2.29864753338016","3.49492394443922","0.801589908348106","1.54643492298936","3.15585518246671","3.86047618067175",""
"Central Europe and the Baltics","CEB","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12256.7012618985","11100.5787280679","10883.4916605738","11048.0390944878","11508.897175664","12185.9603120792","12753.79396664","13117.3974799517","13490.4221367724","13766.6283621683","14409.5717871695","14947.2225659695","15580.8348423418","16333.3087018839","17317.4797852118","18210.6405592066","19463.4381863745","20790.5369215843","21703.2190990801","20949.8054310608","21409.0876101673","22156.2650037262","22349.186321213","22727.7116272939","23448.0317284229","24354.1657220728",""
"Early-demographic dividend","EAR","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","1.7985234892848","1.69184728283471","2.72146486269303","5.65382630142427","3.02329057441608","1.408811338327","2.78806567248027","4.37675889902182","3.49623580530114","3.71376175405797","2.66389085938489","3.7082450553789","4.12979251736768","3.90845395538571","1.27229177915046","4.17619581347581","1.51247605184521","-0.559894958069521","0.60173219532598","0.451533902135438","1.3456578180659","-1.58807974450943","-1.58005713433826","-0.164190607356147","-1.33066539394989","-0.145200306426446","0.735097358971842","0.83558480870154","-0.420857230111054","2.88020872449255","2.38605094100393","2.24899131915902","1.47251432936018","0.983926356033464","0.883267438673883","3.50447690548785","2.97157644283487","-0.109634550540207","-0.0162031551036534","2.63554434706701","-0.539338239391327","0.1045576171514","2.76634596086109","5.11853559576205","4.8918575932764","4.96571535180867","4.81173389345963","2.21135174774278","-0.406586322688696","4.92933645292983","3.56843296603229","2.21696580297488","2.46164161584372","2.32712444997722","3.13698974286218",""
"Early-demographic dividend","EAR","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4228.41317653221","4318.02259307717","4417.23179192052","4478.42701693154","4539.87205526507","4608.9499236938","4782.18831789477","4907.54693965171","4899.29749272981","4942.55531630828","5070.9346657152","5076.18709431919","5116.99397129614","5295.16038329475","5557.70272844949","5839.66294295822","6137.46714905824","6448.8268199699","6604.25995773023","6662.49077198009","7015.47286492199","7262.62753048178","7434.62817073208","7643.48974848914","7871.66489251842","8156.07219049292",""
"East Asia & Pacific","EAS","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","5.50886888012955","4.80176713926342","5.31546822228803","8.0719305519366","4.10359192505945","6.2393212229036","5.88757230185377","7.76562638381111","8.71431856370748","-0.411082784685732","2.46923276920749","4.94437561135182","5.3620086580169","-1.6437252863944","1.55898028568562","2.5678481874054","3.61020169125213","4.04444654867497","4.21314766239547","2.06007646648526","3.00981580561894","2.32214480358664","2.14944914724369","4.18875469652811","4.61718888174846","2.66857201966401","3.78774159762247","5.92516810851104","3.77685537520718","3.94418582675718","2.91560664452687","2.06000488519913","2.28203455386029","2.98503190201791","3.83658253567263","3.85783300632296","2.2947714680178","-1.19667674074365","1.93910001842022","3.89246509751328","1.7620727470747","2.72045859912279","3.43148619227418","4.3510538874247","4.26748894136909","4.78666726626568","5.77008034676577","2.797048581822","0.673956216288317","6.36014386997724","3.93151654937391","3.96555605714181","4.04552827743589","3.4041284220356","3.40000036461537",""
"East Asia & Pacific","EAS","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4962.36568456359","5159.07673826327","5365.8430310978","5596.54373586563","5873.01773674366","6181.90450160273","6493.74063215388","6715.6537039284","6639.40169653194","6846.51329631403","7178.93940483807","7387.02594803659","7697.80698199199","8068.94969807234","8526.26797413844","9021.21751915893","9612.54499706343","10356.7423692359","10819.3759483007","11135.4310350647","11969.6981811722","12617.050738921","13249.9307376738","13906.3062157787","14526.9743682342","15146.5555798043",""
