"Country"	"Year"	"Sex"	"Deaths1"	"D0104"	"D0509"	"D1014"	"D1519"	"D2024"	"D2529"	"D3034"	"D3539"	"D4044"	"D4549"	"D5054"	"D5559"	"D6064"	"D6569"	"D7074"	"D75UP"	"Pop1"	"P0000"	"P0104"	"P0509"	"P1014"	"P1519"	"P2024"	"P2529"	"P3034"	"P3539"	"P4044"	"P4549"	"P5054"	"P5559"	"P6064"	"P6569"	"P7074"	"P75UP"	"ASSR0104"	"ASSR0509"	"ASSR1014"	"ASSR1519"	"ASSR2024"	"ASSR2529"	"ASSR3034"	"ASSR3539"	"ASSR4044"	"ASSR4549"	"ASSR5054"	"ASSR5559"	"ASSR6064"	"ASSR6569"	"ASSR7074"	"ASSR75UP"	"AASR"	"SAAASR"
1125	2008	2	14	0	0	1	1	5	1	1	1	1	2	0	0	0	0	1	0	36702922	1081484.165	2799621.835	3819821	3834924	4291633	3964226	3338048	2388271	2419586	2086915	1853382	1565757	1084454	831683	570004	399641	373471.00003	0	0	0.02608	0.0233	0.12613	0.02996	0.04187	0.04133	0.04792	0.10791	0	0	0	0	0.25022	0	0.039	0.064
1125	2009	1	40	0	2	1	2	8	7	3	4	4	3	3	1	0	2	0	0	39277040	1131800	3046466	4161580	4224698	4623077	4252796	3329534	2551237	2438453	2182940	1980536	1627500	1280435	947803	676013	424375	397797	0	0.04806	0.02367	0.04326	0.18811	0.21024	0.11759	0.16404	0.18324	0.15147	0.18433	0.0781	0	0.29585	0	0	0.11	0.09
1125	2009	2	12	0	0	1	3	0	1	0	0	0	1	0	1	2	1	1	1	37546064	1085609	2887290	3909646	3925153	4391294	4054684	3414079	2442273	2474622	2133693	1894837	1600382	1108500	849969	582973	408641	382419	0	0	0.02548	0.06832	0	0.02929	0	0	0	0.05277	0	0.09021	0.2353	0.17153	0.24471	0.26149	0.071	0.09
1125	2010	1	31	0	0	1	6	4	9	4	1	2	0	2	0	1	1	0	0	40250440	1219070	3063246	4265412	4330443	4738218	4358058	3411636	2613911	2498485	2236659	2029328	1667511	1312016	971087	692772	434889	407699	0	0	0.02309	0.12663	0.09178	0.2638	0.15303	0.04002	0.08942	0	0.11994	0	0.10298	0.14435	0	0	0.073	0.075
1125	2010	2	17	0	2	0	4	4	1	1	2	0	0	0	0	0	0	1	2	38477889	1163338	2908480	4007172	4023320	4500674	4155045	3498432	2502494	2535871	2186333	1941694	1639886	1135920	871006	597495	418810	391919	0	0.04991	0	0.08888	0.09627	0.02858	0.03996	0.07887	0	0	0	0	0	0	0.23877	0.51031	0.076	0.075
1125	2011	1	156	0	1	7	18	26	21	27	10	11	13	5	9	2	3	2	1	41110578	1248574	3125255	4356562	4422983	4839472	4451188	3484541	2669769	2551877	2284456	2072694	1703145	1340053	991839	707576	444183	416411	0	0.02295	0.15826	0.37194	0.58411	0.60266	1.01132	0.39187	0.48152	0.6272	0.29357	0.67162	0.20165	0.42398	0.45026	0.24015	0.414	0.232
1125	2011	2	21	1	2	2	4	4	1	0	2	0	0	1	3	1	0	0	0	39299439	1193520	2965236	4092730	4109223	4596769	4243760	3573128	2555925	2590015	2233014	1983152	1674900	1160173	889603	610252	427752	400287	0.03372	0.04887	0.04867	0.08702	0.09426	0.02799	0	0.07722	0	0	0.05971	0.25858	0.11241	0	0	0	0.053	0.232
1125	2012	1	172	0	5	3	32	25	27	22	12	17	6	6	3	6	2	3	3	42283316.1	1343393	3144330	4470143	4539043	4966481	4569576	3578304	2741843	2621190	2345970	2128762	1748147	1375184	1017278	725665	456396	511611.1	0	0.11185	0.06609	0.64432	0.5471	0.75455	0.80238	0.45781	0.72465	0.28185	0.34322	0.21815	0.58981	0.27561	0.65732	0.58638	0.439	0.274
1125	2012	2	39	0	2	3	14	3	3	1	0	4	2	4	1	0	0	1	1	40285966	1286362	2981795	4200705	4218732	4718944	4356649	3669086	2624749	2659446	2291960	2035826	1718162	1190248	912511	626205	439115	355471	0	0.04761	0.07111	0.29668	0.06886	0.08176	0.0381	0	0.17452	0.09824	0.23281	0.08402	0	0	0.22773	0.28132	0.112	0.274
1125	2013	1	126	0	2	5	15	27	14	18	11	4	9	9	2	6	0	2	2	43207538	1338679	3499269	4671950	4072956	3979957	4227955	4206955	3545962	2738971	2314975	2128977	1880980	1550983	1167988	805991	526994	547996	0	0.04281	0.12276	0.37689	0.63861	0.33278	0.50762	0.40161	0.17279	0.42274	0.47847	0.12895	0.5137	0	0.37951	0.36497	0.31	0.182
1125	2013	2	23	0	1	2	6	3	2	2	2	2	0	0	0	1	0	2	0	41421443	1283223	3194933	4328151	3796132	3745131	4017140	4037141	3444120	2671093	2259079	2089072	1858065	1556054	1185041	823029	552019	582020	0	0.0231	0.05269	0.16021	0.07468	0.04954	0.05807	0.07488	0.08853	0	0	0	0.08439	0	0.36231	0	0.056	0.182
1125	2014	1	71	0	3	0	7	20	11	6	5	0	7	3	3	2	2	0	2	44300565	1019491	4082001	4728480	4223820	4311587	4563914	4278670	3411964	2676907	2391651	2194173	1897954	1546889	1129991	789891	515620	537561.72937	0	0.06345	0	0.16235	0.43822	0.25709	0.17585	0.18678	0	0.31903	0.15806	0.19394	0.17699	0.2532	0	0.37205	0.177	0.108
1125	2014	2	17	0	0	0	4	3	6	1	2	0	0	0	0	0	0	0	1	42510627	944744	3783416	4397298	3959705	4077106	4365276	4119799	3319319	2604220	2348059	2155938	1878438	1536902	1131325	800462	533635	554985.04876	0	0	0	0.09811	0.06872	0.14564	0.03013	0.0768	0	0	0	0	0	0	0	0.18019	0.041	0.108
1300	1981	1	9	0	0	0	1	0	2	2	1	0	0	3	0	0	0	0	0	459700	11800	46300	48100	50600	58200	50300	41600	33900	21800	18900	17000	16600	17400	11100	8200	4300	3500	0	0	0	1.71821	0	4.80769	5.89971	4.58716	0	0	18.07229	0	0	0	0	0	2.344	2.014
1300	1981	2	10	0	0	3	1	4	1	1	0	0	0	0	0	0	0	0	0	479800	11400	44800	48000	50700	58500	51400	44400	36100	24900	21200	18800	17700	16100	11400	10200	6700	7400	0	0	5.91716	1.7094	7.7821	2.25225	2.77008	0	0	0	0	0	0	0	0	0	1.689	2.014
1300	1982	1	10	0	0	0	0	2	1	1	1	2	0	2	0	0	0	0	1	465200	11000	47300	50100	48700	57000	50600	42600	36200	23500	18200	18700	15500	17900	11300	8500	4700	3400	0	0	0	0	3.95257	2.34742	2.76243	4.25532	10.98901	0	12.90323	0	0	0	0	29.41176	3.493	2.114
1300	1982	2	3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	484500	11000	45800	48800	49000	57300	52100	45700	37700	26300	20700	19500	16900	16700	11300	10600	7400	7700	0	0	0	1.7452	0	0	0	0	0	0	5.91716	5.98802	0	0	0	0	0.761	2.114
1300	1983	1	8	0	0	1	0	2	1	1	0	0	0	1	1	1	0	0	0	482500	10200	46800	52800	48200	57500	53100	44700	39300	27000	20000	19300	16200	17300	11900	8700	5200	4300	0	0	2.07469	0	3.76648	2.23714	2.54453	0	0	0	6.17284	5.78035	8.40336	0	0	0	1.875	1.886
1300	1983	2	10	0	0	2	2	2	1	1	1	0	0	0	1	0	0	0	0	486100	9900	46000	51800	46700	56300	52300	44700	38700	27800	20500	19600	16000	17500	12700	10000	7000	8700	0	0	4.28266	3.5524	3.82409	2.23714	2.58398	3.59712	0	0	0	5.71429	0	0	0	0	1.896	1.886
1300	1984	1	67	0	0	1	7	8	13	11	3	2	8	4	3	2	4	0	1	488300	9700	45400	54800	48100	54900	54500	46600	40800	28000	21100	19400	16800	16900	12700	8700	5600	4300	0	0	2.079	12.75046	14.6789	27.897	26.96078	10.71429	9.47867	41.23711	23.80952	17.75148	15.74803	45.97701	0	23.25581	16.236	12.831
1300	1984	2	51	0	0	4	17	10	7	5	1	4	0	2	0	0	0	1	0	488800	9400	43600	52500	46700	54000	53900	45700	39800	29400	22300	19400	16300	16700	13300	9700	7300	8800	0	0	8.56531	31.48148	18.55288	15.31729	12.56281	3.40136	17.93722	0	12.26994	0	0	0	13.69863	0	9.496	12.831
1300	1985	1	68	0	0	1	6	15	6	13	3	7	3	5	3	2	4	0	0	493900	9300	42800	56400	48300	53800	55600	47600	40900	29700	22300	20000	17500	16800	14100	8500	5900	4400	0	0	2.07039	11.15242	26.97842	12.60504	31.78484	10.10101	31.39013	15	28.57143	17.85714	14.1844	47.05882	0	0	15.671	11.944
1300	1985	2	36	0	0	0	8	10	2	4	2	2	2	0	2	2	0	0	2	491300	9000	40700	54000	46900	52000	54300	47000	40200	30400	23500	19700	16900	16400	14200	9700	7600	8800	0	0	0	15.38462	18.41621	4.25532	9.95025	6.57895	8.51064	10.15228	0	12.19512	14.08451	0	0	22.72727	8.296	11.944
1300	1986	1	20	0	0	0	0	5	4	3	5	1	0	1	1	0	0	0	0	497700	9000	39900	58100	48400	51600	56700	47400	41400	34300	22900	19100	18600	15900	15100	8700	6000	4700	0	0	0	0	8.81834	8.43882	7.24638	14.57726	4.36681	0	5.37634	6.28931	0	0	0	0	4.259	2.777
1300	1986	2	8	0	0	0	4	2	1	1	0	0	0	0	0	0	0	0	0	496200	8700	38200	55200	46900	49200	55400	47200	41300	34100	24800	19900	17600	15900	15200	9800	7600	9100	0	0	0	8.13008	3.61011	2.11864	2.42131	0	0	0	0	0	0	0	0	0	1.328	2.777
1300	1987	1	87	0	0	0	4	20	9	12	14	8	10	4	2	1	2	1	0	501200	9300	38100	57900	50700	49800	55200	49600	41700	36800	23300	18800	19300	15400	15300	8700	6400	4800	0	0	0	8.03213	36.23188	18.14516	28.77698	38.04348	34.33476	53.19149	20.72539	12.98701	6.53595	22.98851	15.625	0	20.024	15.476
1300	1987	2	53	0	0	4	14	14	6	4	1	2	2	1	0	0	3	0	2	502600	8900	36000	56400	47500	47300	54700	49500	43400	35600	25900	19700	19100	15500	15300	10700	8000	9000	0	0	8.42105	29.59831	25.59415	12.12121	9.21659	2.80899	7.72201	10.15228	5.2356	0	0	28.03738	0	22.22222	11.029	15.476
1300	1988	1	111	0	0	1	6	15	12	16	16	15	7	6	6	2	4	2	3	506700	9700	36900	56600	53200	47600	54400	52100	43000	37500	25400	19200	19500	15600	15200	9200	6800	4800	0	0	1.8797	12.60504	27.57353	23.03263	37.2093	42.66667	59.05512	36.45833	30.76923	38.46154	13.15789	43.47826	29.41176	62.5	27.86	18.945
1300	1988	2	56	0	0	2	8	13	15	4	6	1	3	1	1	2	0	0	0	509900	9500	35600	54600	50500	46200	53000	50700	44300	38200	27000	21000	19900	15500	15100	11300	8000	9600	0	0	3.9604	17.31602	24.5283	29.5858	9.02935	15.70681	3.7037	14.28571	5.02513	6.45161	13.24503	0	0	0	10.233	18.945
1300	1989	1	107	0	0	0	8	11	24	17	9	14	8	6	4	3	0	1	2	510600	10400	37400	54700	54800	47500	52900	52900	44000	37300	26300	20600	19200	15700	15300	10000	6500	5200	0	0	0	16.84211	20.79395	45.36862	38.63636	24.12869	53.23194	38.83495	31.25	25.47771	19.60784	0	15.38462	38.46154	24.718	16.462
1300	1989	2	37	0	0	5	3	8	6	3	2	0	3	0	1	0	1	3	2	516200	10000	36100	52300	52300	46400	51500	51600	44900	39300	27700	22800	20100	15500	15300	12300	7800	10200	0	0	9.56023	6.46552	15.53398	11.62791	6.68151	5.08906	0	13.15789	0	6.45161	0	8.13008	38.46154	19.60784	8.397	16.462
1300	1990	1	91	0	0	1	3	15	12	14	11	7	8	7	2	2	3	6	0	516400	10500	38700	52400	56000	47300	51200	54000	44100	38800	29400	21300	18300	17000	14500	11500	5700	5800	0	0	1.78571	6.34249	29.29688	22.22222	31.74603	28.35052	23.80952	37.55869	38.25137	11.76471	13.7931	26.08696	105.26316	0	21.544	15.89
